artist,title,album,lyrics,lyrics_length
Whitney Houston,I Will Always Love You,Whitney: The Greatest Hits,"If I should stay
I would only be in your way
So I'll go, but I know
I'll think of you every step of the way

And I
Will always love you
I will always love you

You
My darling, you
Mm, mm

Bittersweet memories
That is all I'm taking with me
So goodbye, please, don't cry
We both know I'm not what you, you need

And I
Will always love you
I will always love you
You


I hope life treats you kind
And I hope you have all you've dreamed of
And I wish to you joy and happiness
But above all this, I wish you love

And I will always love you
I will always love you
I will always love you
I will always love you
I will always love you
I, I will always love you, you

Darling, I love you
Ooh, I'll always
I'll always love you",153
Whitney Houston,I Have Nothing,Whitney: The Greatest Hits,"Share my life, take me for what I am
'Cause I'll never change all my colors for you
Take my love, I'll never ask for too much
Just all that you are and everything that you do

I don't really need to look very much further
I don't wanna have to go where you don't follow
I won't hold it back again, this passion inside
Can't run from myself, there's nowhere to hide

But don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there?
Don't walk away from me
I have nothing, nothing, nothing
If I don't have you, you, you, you, you

You see through, right to the heart of me
You break down my walls with the strength of your love, mm
I never knew love like I've known it with you
Will our memories survive? One I can hold on to

I don't really need to look very much further
I don't wanna have to go where you don't follow
I won't hold it back again, this passion inside
I can't run from myself, there's nowhere to hide
Your love, I'll remember forever

But don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there?
Don't walk away from me
I have nothing, nothing, nothing
Don't make me close one more door
I don't wanna hurt anymore
Stay in my arms if you dare
Or must I imagine you there?
Don't walk away from me, no
Don't walk away from me
Don't you dare walk away from me
I have nothing, nothing, nothing
If I don't have you

You
If I don't have you
Oh, you",298
Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),"I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)","Ah
Yeah, woo
Hey, yeah, ah
Ooh, yeah, uh-huh
Yeah
I wanna dance

Clock strikes upon the hour
And the sun begins to fade
Still enough time to figure out
How to chase my blues away

I've done alright up 'til now
It's the light of day that shows me how
And when the night falls
The loneliness calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

I've been in love and lost to my senses
Spinnin' through the town
Sooner or later, the fever ends
And I wind up feelin' down

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat
Yeah, I wanna dance with somebody
With somebody who loves me

Somebody who, somebody who
Somebody who loves me, yeah
Somebody who, somebody who
To hold me in his arms, oh

I need a man who'll take a chance
On a love that burns hot enough to last
So when the night falls
My lonely heart calls

Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me
Oh, I wanna dance with somebody
I wanna feel the heat with somebody
Yeah, I wanna dance with somebody
With somebody who loves me

Ooh, ooh (Dance)
Come on, baby (Dance)
Woo, yeah (Dance)
Now get with this, woah (Dance)
Don't you wanna dance (Dance) with me, baby?
Don't you wanna dance (Dance) with me, boy?
Hey, don't you wanna dance (Dance) with me, baby?
With somebody who loves me
Don't you wanna dance? Say you wanna dance
Don't you wanna dance? (Dance)
Don't you wanna dance? Say you wanna dance
Don't you wanna dance? (Dance)
Don't you wanna dance? Say you wanna dance
Uh-huh (Dance)
With somebody who loves me
Ooh, ooh (Dance)
Ooh, ooh (Dance)
Ooh, ooh (Dance)
Hey, baby
Don't you wanna love, don't you wanna love me?",405
Whitney Houston,Greatest Love of All,Whitney: The Greatest Hits,"I believe the children are our future
Teach them well and let them lead the way
Show them all the beauty they possess inside
Give them a sense of pride to make it easier
Let the children's laughter remind us how we used to be
Everybody's searching for a hero
People need someone to look up to
I never found anyone who fulfilled my needs
A lonely place to be
And so I learned to depend on me

I decided long ago
Never to walk in anyone's shadows
If I fail, if I succeed
At least I'll live as I believe
No matter what they take from me
They can't take away my dignity

Because the greatest love of all
Is happening to me
I found the greatest love of all
Inside of me
The greatest love of all
Is easy to achieve
Learning to love yourself
It is the greatest love of all

I believe the children are our future
Teach them well and let them lead the way
Show them all the beauty they possess inside
Give them a sense of pride to make it easier
Let the children's laughter remind us how we used to be

I decided long ago, never to walk in anyone's shadows
If I fail, if I succeed
At least I'll live as I believe
No matter what they take from me
They can't take away my dignity

Because the greatest love of all
Is happening to me
I found the greatest love of all
Inside of me
The greatest love of all
Is easy to achieve
Learning to love yourself
It is the greatest love of all

And if, by chance, that special place
That you've been dreaming of
Leads you to a lonely place
Find your strength in love",298
Whitney Houston,Saving All My Love for You,Whitney: The Greatest Hits,"A few stolen moments is all that we shared
You've got your family and they need you there
Though I try to resist being last on your list
But no other man's gonna do
So I'm saving all my love for you

It's not very easy living all alone
My friends try and tell me find a man of my own
But each time I try, I just break down and cry
'Cause I'd rather be home feeling blue
So I'm saving all my love for you

You used to tell me we'd run away together
Love gives you the right to be free
You said, ""Be patient, just wait a little longer.""
But that's just an old fantasy

I've got to get ready
Just a few minutes more
Gonna get that old feeling
When you walk through that door
'Cause tonight is the night for a feeling alright
We'll be making love the whole night through
So I'm saving all my love
Yes, I'm saving all my love
Yes, I'm saving all my love for you

No other woman is gonna love you more
'Cause tonight is the night that I'm feeling alright
We'll be making love the whole night through
So I'm saving all my love
Yeah, I'm saving all my loving
Yes, I'm saving all my love for you
For you, for you",226
Whitney Houston,I’m Every Woman,Japanese Singles Collection: Greatest Hits,"Ooh, ooh, yeah
Whatever you want
Whatever you need
Anything you want done, baby
I'll do it naturally
'Cause I'm every woman (Every woman)
It's all in me
It's all in me
Eee-yeah

I'm every woman
It's all in me
Anything you want done, baby
I'll do it naturally
I'm every woman
It's all in me
I can read your thoughts right now
Everyone, from A to Z
Whoa, whoa, whoa
Whoa (Oh), whoa (Oh), whoa

I can cast a spell
Secrets you can't tell
Mix a special groove
Put fire inside of you
Anytime you feel danger or fear
Then instantly I will appear, oh

I'm every woman
It's all in me
Anything you want done, baby
I'll do it naturally
Whoa, whoa, whoa
(Oh) Whoa, whoa (Oh), whoa

Oh, I can sense your needs
Like rain onto the seeds
I can make a rhyme of confusion in your mind
And when it comes down to some good old-fashioned love
I've got it, I've got it
I've got it, got it, baby, baby, yeah-yeah

I'm every woman
It's all in me
Anything you want done, baby
I'll do it, naturally
I'm every woman
It's all in me
I can read your thoughts right now
Every one, from A to Z
Whoa, whoa, whoa
Whoa (Oh), whoa (Oh), whoa

I ain't bragging
'Cause I'm the one
Just ask me
Ooh, it shall be done
And don't bother
To compare
I've got it (Ahh!)

Whoa, whoa, whoa (Ahh, yeah, yeah, got it)
Whoa, whoa, whoa (Got it, got it, yeah)
Whoa, whoa, whoa (Ahh, ahh, ahh) (Ahh-ahh)
I'm every woman (I'm every woman)
I'm every woman (Every need, baby)
I'm every woman (Oh)
I'm every woman (Oh)
I'm every woman (Every woman, baby)
I'm every woman (Uuh)
I'm every woman (Every woman, baby)
I'm every woman (Oh)
I'm every woman (Chaka Khan)
I'm every woman (Chaka Khan)
I'm every woman (Hahahahahaha)
I'm every woman (My girl)",325
Whitney Houston,How Will I Know,Japanese Singles Collection: Greatest Hits,"There's a boy I know, he's the one I dream of
Looks into my eyes, takes me to the clouds above
Ooh, I lose control, can't seem to get enough, uh-huh
When I wake from dreaming, tell me, is it really love?

Ooh, how will I know? (Don't trust your feelings)
How will I know?
How will I know? (Love can be deceiving)
How will I know?

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you 'cause you know about these things
How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

Oh, wake me, I'm shaking
Wish I had you near me now, uh-huh
Said there's no mistakin'
What I feel is really love
Ooh, tell me

How will I know? (Don't trust your feelings)
How will I know?
How will I know? (Love can be deceiving)
How will I know?

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you 'cause you know about these things
How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

If he loves me
If he loves me not (Mm)
If he loves me
(Ooh) If he loves me not
(Hey) If he loves me
If he loves me not
Oh, how will I know?
How will I know?
How will I know?
Hey, how will I know? (Ooh)

How will I know if he really loves me?
I say a prayer with every heartbeat
I fall in love whenever we meet
I'm asking you 'cause you know about these things
How will I know if he's thinking of me?
I try to phone, but I'm too shy (Can't speak)
Falling in love is so bittersweet
This love is strong, why do I feel weak?

How will I know? (How will I know?)
How will I know?
How will I know? (I say a prayer)
How will I know? Ooh
How will I know? (I fall in love)
How will I know?
Hey, how will I know?
I'm asking you
How will I, how will I know?",416
Whitney Houston,Run to You,Whitney: The Greatest Hits,"Ooh

I know that when you look at me
There's so much that you just don't see
But if you would only take the time
I know in my heart you'd find
Oh, a girl who's scared sometimes
Who isn't always strong
Can't you see the hurt in me?
I feel so all alone

I wanna run to you (Ooh-ooh)
I wanna run to you (Ooh-ooh-ooh)
Won't you hold me in your arms
And keep me safe from harm?
I wanna run to you (Ooh-ooh)
But if I come to you (Ooh-ooh-ooh)
Tell me, will you stay
Or will you run away?

Each day, each day I play the role
Of someone always in control
But at night, I come home and turn the key
There's nobody there, no one cares for me
Oh, what's the sense
Of trying hard to find your dreams
Without someone to share it with?
Tell me, what does it mean?

I wanna run to you (Ooh-ooh)
I wanna run to you (Ooh-ooh-ooh)
Won't you hold me in your arms
And keep me safe from harm?
I wanna run to you (Ooh-ooh)
But if I come to you (Ooh-ooh-ooh)
Tell me, will you stay
Or will you run away?
Run away

Oh, I need you here
I need you here to wipe away my tears
To kiss away my fears, no
If you only knew
How much

I wanna run to you
I wanna run to you (Ooh-ooh-ooh)
Won't you hold me in your arms
And keep me safe from harm?
I'll run to you
But if I come to you (Ooh-ooh-ooh)
Tell me, will you stay
Or will you run away?",277
Whitney Houston,"It’s Not Right, But It’s Okay","I Wanna Dance With Somebody (The Movie: Whitney New, Classic and Reimagined)","Friday night, you and your boys went out to eat, oh
Then they hung out
But you came home around three, yes, you did
If six of y'all went out, ah
Then four of you were really cheap, yeah
'Cause only two of you had dinner
I found your credit card receipt

It's not right, but it's okay
I'm gonna make it anyway
Pack your bags, up and leave
Don't you dare come runnin' back to me
It's not right, but it's okay
I'm gonna make it anyway
Close the door behind you, leave your key
I'd rather be alone than unhappy, yeah (Ah)

I'm packing bags so you can leave town for a week
Yes, I am
The phone rings, and then you look at me
(Why'd you turn and look at me?)
You said it was one of your friends down on 54th Street, boy
So why did 213 show up on your Caller I.D.? Oh

I've been through all of this before
I've been through all this before
So how could you think
Don't think about it, don't think about it
That I would stand around and take some more?
Get gone, get gone
Things are gonna change
Things are gonna change, baby
'Cause I won't be a fool anymore
You don't stand no chance, boy
That's why you have to leave
I said yeah, yeah, yeah, yeah, yeah, yeah
So don't turn around to see my face
Don't you turn around
There's no more tears left here for you to see

Was it really worth you going out like that?
Tell me, boy
See, I'm movin' on
And I refuse to turn back, yeah (Back, back, yeah)
See, all of this time
I thought I had somebody down for Whitney
It turns out, you were making a fool of me, oh

It's not right, but it's okay (Sho 'nuff okay, ha)
I'm gonna make it anyway (Make it anyway)
Pack your bags, up and leave (Pack your bags, get out and leave)
Don't you dare come runnin' back to me (Don't you dare, back to me, boy)
It's not right, but it's okay (It's not right, so okay)
I'm gonna make it anyway (I'm gonna, I'm gonna, ah)
Close the door behind you, leave your key (Close the door, and leave your key)
I'd rather be alone than unhappy (I'd rather be alone than unhappy, oh)
It's not right, but it's okay (It's not right, so okay, baby)
I'm gonna make it anyway (I can pay my own rent)
Pack your bags, up and leave (Pay my light bill, take care of my babies)
Don't you dare come runnin' back to me (Oh, oh, oh-whoa)
It's not right, but it's okay (Oh, lord) (Oh-oh-oh, ooh)
I'm gonna make it anyway (Get up and leave)
Close the door behind you, leave your key (Yeah yeah yeah yeah, yeah yeah)
I'd rather be alone than unhappy (I'd rather be alone than unhappy)
It's not right, but it's okay (I'm gonna be okay, I'm gonna be alright)
I'm gonna make it anyway (I'm gonna be okay, I'm gonna be alright)
Pack your bags, up and leave  (I'm gonna be okay, I'm gonna be alright)
Don't you dare come runnin' back to me (Things are gonna change)
(Ooh, ooh, ooh, ooh)
('Cause I won't be a fool anymore)
It's not right, but it's okay (I'm gonna be okay, I'm gonna be alright)
I'm gonna make it anyway (I'm gonna be okay, I'm gonna be alright)
Close the door behind you, leave your key (I'm gonna be okay, I'm gonna be alright)
I'd rather be alone than unhappy (There's no more tears left here for you to see)
(Ooh, ooh, ooh, ooh)

It's not right, but it's okay
I'm gonna make it anyway
Pack your bags, up and leave
Don't you dare come running back to me
It's not right, but it's okay
I'm gonna make it anyway
Close the door behind you, leave your key
I'd rather be alone than unhappy
It's not right, but it's okay
I'm gonna make it anyway",682
Whitney Houston,The Christmas Song (Chestnuts Roasting On An Open Fire),One Wish (The Holiday Album) [Deluxe Version],"(Ooh, yeah, ooh Lord)

Chestnuts roasting on an open fire (well)
Jack Frost nipping at your nose (Mmm)
Yuletide carols being sung by a choir
And folks dressed up like Eskimos
Everybody knows a turkey and some mistletoe (Well)
Help to make the season bright (Mmm)
Tiny little tots with their eyes all aglow
Will find it hard to sleep tonight
(Scats)
Do you know that Santa's on his way?
He's loaded lots of toys and goodies on his sleigh
Everybody's mother's child is going to spy
To see if reindeers really know how to fly

And so I'm offering this simple phrase
From kids from one to ninety-two
Although it's been said many times, many ways
Merry Christmas (scats)
Happy Chanukah
Happy Kwanzaa
Merry Christmas to
To all of you
Merry Christmas to everyone",135
Whitney Houston,I Look to You,Japanese Singles Collection: Greatest Hits,"As I lay me down
Heaven hear me now
I'm lost without a cause
After giving it my all
Winter storms have come
And darkened my sun
After all that I've been through
Who on earth can I turn to?

I look to you
I look to you
After all my strength is gone
In you, I can be strong
I look to you
I look to you, yeah
And when melodies are gone
In you, I hear a song
I look to you

About to lose my breath
There's no more fighting left
Sinking to rise no more
Searching for that open door
And every road that I've taken, mm
Led to my regret
And I don't know if I'm gon' make it
Nothing to do but lift my head

I look to you
I look to you, yeah
And when all my strength is gone
In you, I can be strong
I look to you
I look to you, oh yeah
And when melodies are gone
In you, I hear a song
I look to you

My levees are broken (Oh Lord)
My walls have come (Coming down on me)
They're crumbling down on me (All the rain is falling)
The rain is falling (Woo)
Defeat is calling (Set me free)
I need you to set me free
Take me far away from the battle
I need you
Shine on me

I look to you
I look to you
After all my strength is gone
In you, I can be strong
I look to you
I look to you, yeah
And when melodies are gone
In you, I hear a song
I look to you, yeah

I look to you, ooh
I look to you",287
